@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
152,'2020/11/01 23:13:58:594',4,0.52,0.5325,0.538333,0.49,0.56,0.465,0.573333,0.47,0.586667,0.4625,0.608333,0.485,0.625,0.5225,0.613333,0.5225,0.588333,0.495,0.573333,0.4975,0.56,0.4975,0.531667,0.53,0.625,0.5225,0.61,0.5625,0.591667,0.58,0.576667,0.5825,0.56,0.5825,0.538333,0.57,0.52,0.5325,0.531667,0.53,0.56,0.54,0.575,0.54,0.59,0.5375,0.613333,0.5225,0.01716,0.069547,0.196048
153,'2020/11/01 23:13:58:694',4,0.52,0.5325,0.538333,0.49,0.56,0.465,0.573333,0.47,0.586667,0.4625,0.608333,0.485,0.625,0.5225,0.613333,0.5225,0.588333,0.495,0.573333,0.4975,0.56,0.4975,0.531667,0.53,0.625,0.5225,0.61,0.5625,0.591667,0.58,0.576667,0.5825,0.56,0.5825,0.538333,0.57,0.52,0.5325,0.531667,0.53,0.56,0.54,0.575,0.54,0.59,0.5375,0.613333,0.5225,0.01716,0.069547,0.196048
154,'2020/11/01 23:13:58:794',4,0.521667,0.5325,0.54,0.4925,0.561667,0.47,0.576667,0.4725,0.59,0.4675,0.611667,0.4875,0.626667,0.5275,0.616667,0.525,0.59,0.4975,0.576667,0.5,0.561667,0.5,0.533333,0.5325,0.626667,0.5275,0.613333,0.57,0.593333,0.5875,0.576667,0.5925,0.561667,0.59,0.54,0.5725,0.521667,0.5325,0.533333,0.5325,0.561667,0.55,0.576667,0.5525,0.591667,0.55,0.616667,0.525,0.01716,0.069547,0.196048
155,'2020/11/01 23:13:58:892',4,0.521667,0.5325,0.54,0.4925,0.561667,0.47,0.576667,0.4725,0.59,0.4675,0.611667,0.4875,0.626667,0.5275,0.616667,0.525,0.59,0.4975,0.576667,0.5,0.561667,0.5,0.533333,0.5325,0.626667,0.5275,0.613333,0.57,0.593333,0.5875,0.576667,0.5925,0.561667,0.59,0.54,0.5725,0.521667,0.5325,0.533333,0.5325,0.561667,0.55,0.576667,0.5525,0.591667,0.55,0.616667,0.525,0.01716,0.069547,0.196048
156,'2020/11/01 23:13:58:994',4,0.521667,0.5325,0.54,0.4925,0.561667,0.47,0.576667,0.4725,0.59,0.4675,0.611667,0.4875,0.626667,0.5275,0.616667,0.525,0.59,0.4975,0.576667,0.5,0.561667,0.5,0.533333,0.5325,0.626667,0.5275,0.613333,0.57,0.593333,0.5875,0.576667,0.5925,0.561667,0.59,0.54,0.5725,0.521667,0.5325,0.533333,0.5325,0.561667,0.55,0.576667,0.5525,0.591667,0.55,0.616667,0.525,0.01716,0.069547,0.196048
157,'2020/11/01 23:13:59:093',4,0.521667,0.5275,0.541667,0.4925,0.563333,0.4675,0.578333,0.4725,0.591667,0.465,0.613333,0.485,0.628333,0.5225,0.618333,0.52,0.591667,0.495,0.578333,0.4975,0.563333,0.4975,0.533333,0.5275,0.628333,0.5225,0.615,0.56,0.596667,0.575,0.58,0.58,0.563333,0.5775,0.541667,0.565,0.521667,0.5275,0.533333,0.5275,0.563333,0.5325,0.578333,0.535,0.593333,0.5325,0.618333,0.52,0.01716,0.069547,0.196048
158,'2020/11/01 23:13:59:195',4,0.521667,0.5275,0.541667,0.4925,0.563333,0.4675,0.578333,0.4725,0.591667,0.465,0.613333,0.485,0.628333,0.5225,0.618333,0.52,0.591667,0.495,0.578333,0.4975,0.563333,0.4975,0.533333,0.5275,0.628333,0.5225,0.615,0.56,0.596667,0.575,0.58,0.58,0.563333,0.5775,0.541667,0.565,0.521667,0.5275,0.533333,0.5275,0.563333,0.5325,0.578333,0.535,0.593333,0.5325,0.618333,0.52,0.01716,0.069547,0.196048
159,'2020/11/01 23:13:59:293',4,0.521667,0.5275,0.541667,0.4925,0.563333,0.4675,0.578333,0.4725,0.591667,0.465,0.613333,0.485,0.628333,0.5225,0.618333,0.52,0.591667,0.495,0.578333,0.4975,0.563333,0.4975,0.533333,0.5275,0.628333,0.5225,0.615,0.56,0.596667,0.575,0.58,0.58,0.563333,0.5775,0.541667,0.565,0.521667,0.5275,0.533333,0.5275,0.563333,0.5325,0.578333,0.535,0.593333,0.5325,0.618333,0.52,0.01716,0.069547,0.196048
160,'2020/11/01 23:13:59:393',4,0.523333,0.53,0.541667,0.4925,0.565,0.47,0.578333,0.4725,0.591667,0.4675,0.613333,0.485,0.63,0.525,0.618333,0.5225,0.591667,0.495,0.578333,0.495,0.565,0.4975,0.533333,0.53,0.63,0.525,0.615,0.565,0.596667,0.5825,0.58,0.585,0.565,0.585,0.543333,0.57,0.523333,0.53,0.533333,0.53,0.565,0.5475,0.578333,0.5475,0.593333,0.545,0.618333,0.5225,0.01716,0.069547,0.196048
161,'2020/11/01 23:13:59:495',4,0.523333,0.53,0.541667,0.4925,0.565,0.47,0.578333,0.4725,0.591667,0.4675,0.613333,0.485,0.63,0.525,0.618333,0.5225,0.591667,0.495,0.578333,0.495,0.565,0.4975,0.533333,0.53,0.63,0.525,0.615,0.565,0.596667,0.5825,0.58,0.585,0.565,0.585,0.543333,0.57,0.523333,0.53,0.533333,0.53,0.565,0.5475,0.578333,0.5475,0.593333,0.545,0.618333,0.5225,0.01716,0.069547,0.196048
